LOCALIDAD,TITULO,CLASIFICAC,DIRECCION,AUTOR,FECHA_ELAB,X,Y
Usaquen,"Eva Duarte de Peron ""Evita""",E_Antropomorfa,CL 122 Y CL 121 - KR 20 Y KR 21,Anonimo,ca. 1994,"102885,96","111658,74"
Usaquen,Nuestra Señora de las Misericordias,E_Antropomorfa,KR 7 - CL 110A Y CL 111,Anonimo,ca. 1945,"104789,9057","110308,4245"
Usaquen,Reloj de la Iglesia Santa Barbara de Usaquen,Reloj,KR 6 118 40,Anonimo,ca.1994,"105212,5702","110924,1712"
Usaquen,Campanas de la Iglesia Santa Barbara de Usaquen,Campana,KR 6 118 40,Anonimo,Campana 1: 1915,"105213,1306","110926,0073"
,,,,,Campanas 2 y 3: 1959,,
Usaquen,Homenaje al Concejo Municipal de 1893,Placa,KR 6A 118 03,Anonimo,1893,"105117,6405","110933,1375"
Usaquen,Primera Junta Administradora Local,Placa,KR 6A 118 03,Anonimo,1992,"105120,8937","110939,7488"
Usaquen,Homenaje a Simon Bolivar,Placa,KR 6A 118 03,"Malagon Bravo, Eduardo",1996,"105125,6003","110943,6315"
Usaquen,Testimonio de la construccion de la Institucion Educativa General Santander,Placa,CL 119 6 40,Administracion Municipal de Usaquen,1935,"105167,994","110995,5587"
Santa Fe,Chorro de Padilla,Fuente,AV. CIRCUNVALAR (KR 5A E) CON CL 22,Anonimo,0,"102075,31","100566,39"
Santa Fe,Puente Carlos Holguin,Estructura ingenieril,AV. CIRCUNVALAR (KR 5A E) CON CL 22,"Manrique Canals, Alejandro",ca.1890,"102052,3111","100573,2391"
San Cristobal,Simon Bolivar,E_Antropomorfa,CL 13A S - KR 7,Anonimo,ca. 1959 - 1960,"98736,76261","97999,98199"
San Cristobal,Jose Maria Cordoba,E_Antropomorfa,CL 28 SUR - KR 1 ESTE,Anonimo,ca.1955,"98542,05122","96467,53616"
